open_price,high_price,low_price,close_price,volume,close_time,quote_asset_volume,qty_transactions,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
23329.37000000,23492.98000000,23305.23000000,23444.33000000,151.38914700,1677643199999,3545502.68111352,3954,77.97739200,1826042.82791784,0
23444.11000000,23843.78000000,23425.34000000,23791.19000000,136.27855700,1677646799999,3220773.33749746,3321,70.34450700,1662043.89671121,0
23800.20000000,23823.75000000,23634.43000000,23687.14000000,78.18010900,1677650399999,1852856.31495322,1707,35.96676700,852469.20320519,0
23697.84000000,23797.03000000,23661.00000000,23750.09000000,91.37837100,1677653999999,2169221.82837069,2404,48.03608000,1140287.59436591,0
23753.79000000,23761.76000000,23685.45000000,23708.02000000,81.91233900,1677657599999,1943286.90557424,2283,39.89848300,946644.82971451,0
23710.35000000,23998.92000000,23680.40000000,23868.67000000,123.00844100,1677661199999,2930497.81826785,3094,60.85223700,1449344.41098410,0
23861.61000000,23903.05000000,23727.55000000,23756.70000000,106.51490000,1677664799999,2533921.31458851,2971,52.81411000,1256494.84091224,0
23758.52000000,23785.11000000,23676.84000000,23779.19000000,59.63148300,1677668399999,1414985.07995030,1845,32.13440300,762585.31741414,0
23779.02000000,23788.19000000,23703.05000000,23733.47000000,30.44551100,1677671999999,722998.02383553,1231,15.86549200,376804.28630770,0
23734.24000000,23819.32000000,23697.78000000,23723.26000000,48.73366700,1677675599999,1157289.58045454,1633,24.79575400,588930.12047673,0
23726.66000000,23735.85000000,23619.24000000,23690.31000000,114.51630500,1677679199999,2712045.61607315,3870,56.37853400,1335284.22962388,0
23686.00000000,23884.78000000,23562.37000000,23684.02000000,197.36042400,1677682799999,4681997.59460350,6225,99.14529200,2352292.63539669,0
23686.99000000,23767.93000000,23573.48000000,23708.53000000,231.42697100,1677686399999,5478360.32240171,9149,121.09375800,2866553.43426660,0
23708.29000000,23743.82000000,23560.00000000,23691.73000000,110.49735900,1677689999999,2611867.66210247,4640,58.39140600,1380343.01743506,0
23697.05000000,23742.34000000,23673.07000000,23708.91000000,55.65751000,1677693599999,1319791.66872866,2508,26.88145800,637491.09719754,0
23708.37000000,23724.15000000,23646.54000000,23691.03000000,25.95700200,1677697199999,614916.39107851,1415,14.51328300,343872.87979711,0
23690.41000000,23693.60000000,23329.36000000,23352.49000000,131.82101100,1677700799999,3099073.67085201,4035,65.13103300,1530590.19340420,0
23352.23000000,23472.65000000,23304.72000000,23419.07000000,88.18261100,1677704399999,2064495.48463030,3018,44.64368200,1045201.38398276,0
23421.22000000,23586.62000000,23369.73000000,23564.63000000,53.62841400,1677707999999,1259876.76564567,2061,29.11134700,683971.69371207,0
23557.88000000,23573.07000000,23441.26000000,23533.74000000,28.10173700,1677711599999,660354.46955308,1158,16.41866900,385756.62459962,0
23530.91000000,23668.95000000,23500.34000000,23629.08000000,74.40218700,1677715199999,1755333.13263178,2296,35.37979500,834574.46817743,0
23628.02000000,23797.20000000,23595.34000000,23600.28000000,86.94102000,1677718799999,2060259.33650962,2578,43.24591500,1024873.08832077,0
23606.28000000,23636.52000000,23449.54000000,23515.79000000,84.39866700,1677722399999,1987720.68389146,2559,39.29167900,925500.98950564,0
23516.68000000,23543.42000000,23449.77000000,23495.72000000,53.55491900,1677725999999,1258822.53880373,1709,28.12040000,661000.54280138,0
23494.19000000,23513.62000000,23425.61000000,23493.22000000,53.17736800,1677729599999,1248698.35815447,1601,24.52047300,575808.43488742,0
23491.93000000,23543.80000000,23468.98000000,23534.50000000,27.75682400,1677733199999,652234.39495224,883,14.51379900,341051.15112246,0
23535.53000000,23542.37000000,23414.78000000,23444.99000000,27.21532300,1677736799999,638714.44461763,947,13.01366500,305400.91143351,0
23446.87000000,23473.19000000,23376.89000000,23435.80000000,32.53746800,1677740399999,762619.74626402,1128,16.88245000,395738.20173704,0
23437.65000000,23445.20000000,23339.25000000,23372.33000000,51.89990700,1677743999999,1213816.49080785,1485,25.75542600,602327.70713877,0
